version	name	statements_md5	statement_count	executable_md5
20260713102826	regenerate_exact_generated_sql_source_manifest	e162f5c36245e97487c0619e424c4062	1	f903fdbe4584abe30da67c7662bb4650
20260713105316	create_substrate_promotion_readiness	3a0b757e4c0863f28873e86436754b85	1	e7543ad961371324301f70fbd892a742
20260713172413	allow_state_directory_candidate_kind	e0b34d30a2cf1ffd79c80c7881c34a19	1	fabde8c1e97f2029e29a3f3dbec3c36d
20260713172504	recreate_disability_readiness_for_jurisdictions	aad281b8fbd58b1aaa9b64d8a11c78f1	1	11e12a00799df4a85aad7355ea40158b
20260714091011	promote_disability_national_resources	624396d2a9bdd51289ef08609bfb30e9	1	26f148a4a9c81f82f36ca40bcd55321d
20260717142221	enable_rls_on_substrate_and_corpus_manifest_tables	22ef1a65c659e2211563b86043846f12	1	22ef1a65c659e2211563b86043846f12
20260717142334	create_sais_resources_canonical_table	59a7fede45b82d845aaf2c9994d25206	1	59a7fede45b82d845aaf2c9994d25206
20260719014255	export_migration_ledger_for_reconciliation	a87e213f9f27bca68c2940d3314dc0e5	1	a87e213f9f27bca68c2940d3314dc0e5
20260719014434	temporary_export_missing_migration_ledger	c45662865e73a59481668b10508e486e	1	c45662865e73a59481668b10508e486e
20260719014817	temporary_missing_migration_ledger_export_table	2b363bd27542052234f354a6d2a57673	1	2b363bd27542052234f354a6d2a57673
20260719015021	temporary_missing_migration_ledger_export_view	b3630f40f5d4653d30ebe552dd4e7a4c	1	b3630f40f5d4653d30ebe552dd4e7a4c
20260719015141	temporary_open_missing_migration_export	bbfee2999d2ad2e61928a89aa6718363	1	bbfee2999d2ad2e61928a89aa6718363
20260719015253	temporary_missing_migration_ledger_json_export	b220b5156349b0e762d031449122cc6c	1	b220b5156349b0e762d031449122cc6c
20260719022906	remove_temporary_migration_ledger_exports	55d16885a13a8c19a40fd4f48c7ca733	1	55d16885a13a8c19a40fd4f48c7ca733
20260720191523	restore_docket_bill_detail_cache	2fdc4bd83e24a93578de3807f1036e1e	1	8984713759e42bf8c13f05b07644bedf
20260720220406	enable_rls_on_8_exposed_tables	35796287d402c5b78416a98d126d3e4c	1	35796287d402c5b78416a98d126d3e4c
20260722235055	civic_genome_node_foundation	60f1f63dc467d677bd891a2242c9de60	1	b681bb5660da3326de3b5ae382b2cc36
20260722235229	seed_initial_civic_genome_domains	eb06aded9a6986c4c2d3b4ca5612c0d5	1	16f5c3054352bc202ca9c736c0368408
20260724155642	civic_genome_operating_substrate	18741a0c15081398379dc760e7508120	1	572e65e6e7d86c2015a1715c303d93e2
20260724155704	rosetta_genome_assembly_activation	728ea75dd4aabc723046f49a3e44033d	1	3b2d9a19b843d67619d6c452fad4f6b0
20260725075541	omnidirectional_graph_hardening	65542fe21c6a6d4d0172921ff588e91b	1	65542fe21c6a6d4d0172921ff588e91b
20260725075558	restore_public_api_grants_after_omnidirectional_migration	35a5a491225af8aaaad8826243e93387	1	7b66ac3fd18f2bc4607953ded6dcc14b
20260725075638	omnidirectional_graph_runtime_functions	6a5645ba9126174d7516d03c3eee911c	1	5bbbf1efc593db2e177e2b7ff278ba43
20260727012911	civic_genome_momentum_producer_v1	79a78fa341a45acc49635b6a1f7a000a	1	030bc7833e8b6070f47d5b0e152e299a
20260727161445	admin_change_log_sequence_alignment	804efa3aa7f5c8b65e2d2eaaa9c2b3f1	1	08244d0724d226652070c853cb654132
20260727161504	governance_snapshots	87ef6417ab32498c0496e8b4622daa48	1	22e09f5379961f93140af6c82dbcb8e3
20260729022336	geocode_worker_cron_auth	551357d09585bc62520fa85f5043c511	1	a9cafda720efab7a233ad36ae8d7fcba
20260729110336	geocode_worker_request_timeout	3fda3f180634c3d6d26e2f53a6e74465	1	98f438f8bfd13a8e28ba81ea17deb2a6
20260729110955	geocode_worker_cron_verifier_vault_source	1fa513a90f95ff2502a8b43e008aa4cc	1	c68ad3850e996c41d193a36ac51fcd96
20260729111254	geocode_worker_cron_verifier_callable	c7048760b9cd00e2afaa7b370ce7ff25	1	db03dfbad3107186c3758f9dbeb7ed0b
20260729111826	secure_geocode_worker_queue_rpcs	9abfdccd3c63124bea16201e903839f2	1	43f46c5d9977088a6949510f505ad506
